State,Region,Uses (Permitted and Conditional),Required Spaces
IL,Waukegan,"Greenhouses and nurseries, retail","4.0/1,000 sq. ft. of gross floor area of building, plus 1.0/1,500 sq. ft. of exterior  sales area"
IL,Waukegan,"Golf courses, public and private",60/9 holes (regular golf) or 50/9 holes (par 3)
IL,Waukegan,Public swimming pool,1.0/75 sq. ft. of water area plus 1.0/2 employees
IL,Waukegan,Tennis courts and clubs,"2.0/court, plus 5.0/1,000 sq. ft. of gross floor area"
IL,Waukegan,Theaters (indoor),1.0/3.5 seats provided
IL,Waukegan,Drive-in theaters (outdoor),Reservoir parking equal to 10 percent of capacity use
IL,Waukegan,Car wash (mechanical),"1.0/2 employees, plus 1.0/Manager-owner, plus reservoir spaces equal to five (5) times  the maximum capacity of each auto washing unit"
IL,Waukegan,Educational services,"1.0/2 students based on design capacity, plus 4.0/1,000 sq. ft. for office space"
IL,Waukegan,Commercial school or trade,"1.0/2 students based on design capacity, plus 4.0/1,000 sq. ft. for office space"
IL,Waukegan,Business school,"1.0/2 students based on design capacity, plus 4.0/1,000 sq. ft. for office space"
IL,Waukegan,Business machine school,"1.0/2 students based on design capacity, plus 4.0/1,000 sq. ft. for office space"
IL,Waukegan,Computer technology school,"1.0/2 students based on design capacity, plus 4.0/1,000 sq. ft. for office space"
IL,Waukegan,Vocational schools,"1.0/2 students based on design capacity, plus 4.0/1,000 sq. ft. for office space"
IL,Waukegan,Boarding school—Elementary and secondary,"1.0/15 students based on design capacity, plus 4.0/1,000 sq. ft. of office space"
IL,Waukegan,Elementary school,"1.0/15 students based on design capacity, plus 4.0/1,000 sq. ft. of office space"
IL,Waukegan,Junior high school,"1.0/15 students based on design capacity, plus 4.0/1,000 sq. ft. of office space"
IL,Waukegan,Senior high schools,"1.0/15 students based on design capacity, plus 1.0/6 students based on design capacity,  plus 4.0/1,000 sq. ft. of office space"
IL,Waukegan,"Colleges, junior colleges and universities","1.0/4 students based on total enrollment capacity, plus 4.0/1,000 gross sq. ft. of  office space"
IL,Waukegan,"Churches, chapels, temples, synagogues",1.0/4 seats provided
IL,Waukegan,"Auditoriums, including school and institutional",1.0/3 seats of design capacity
IL,Waukegan,Commercial stadiums,1.0/3 seats of design capacity
IL,Waukegan,"Fairgrounds, rodeos, and grandstands",1.0/3 seats of design capacity
IL,Waukegan,Racetracks,1.0/3 seats of design capacity
IL,Waukegan,"Garage for the storage, servicing and repair of motor vehicles including body repair,  painting and engine rebuilding",3.0/service bay
IL,Waukegan,Battery and tire service shops,"4.0/1,000 sq. ft. of gross floor area, plus 1.0/1,500 sq. ft. of outdoor display area"
IL,Waukegan,"Boat showrooms, sales and repairs","4.0/1,000 sq. ft. of gross floor area, plus 1.0/1,500 sq. ft. of outdoor display area"
IL,Waukegan,"Boat dealers, brokers and offices","4.0/1,000 sq. ft. of gross floor area, plus 1.0/1,500 sq. ft. of outdoor display area"
IL,Waukegan,Farm implement stores,"4.0/1,000 sq. ft. of gross floor area, plus 1.0/1,500 sq. ft. of outdoor display area"
IL,Waukegan,"Garden supply, tool and seed store","4.0/1,000 sq. ft. of gross floor area, plus 1.0/1,500 sq. ft. of outdoor display area"
IL,Waukegan,"Mobile home display, sales and service","4.0/1,000 sq. ft. of gross floor area, plus 1.0/1,500 sq. ft. of outdoor display area"
IL,Waukegan,Model garage display and sales,"4.0/1,000 sq. ft. of gross floor area, plus 1.0/1,500 sq. ft. of outdoor display area"
IL,Waukegan,"Motorcycle, bicycle and other outdoor recreational vehicle sales rental and service","4.0/1,000 sq. ft. of gross floor area, plus 1.0/1,500 sq. ft. of outdoor display area"
IL,Waukegan,"Motor vehicles, sales and service","4.0/1,000 sq. ft. of gross floor area, plus 1.0/1,500 sq. ft. of outdoor display area"
IL,Waukegan,"Nautical components, sales and service","4.0/1,000 sq. ft. of gross floor area, plus 1.0/1,500 sq. ft. of outdoor display area"
IL,Waukegan,"Trailer, boat and camper or camper-trailer sales, rental and service","4.0/1,000 sq. ft. of gross floor area, plus 1.0/1,500 sq. ft. of outdoor display area"
IL,Waukegan,Automobile auction establishment,"1.0/1,000 sq. ft. of lot area"
